movieInfo,title,star,quote
"
导演:宫崎骏HayaoMiyazaki   主演:岛本须美SumiShimamoto/京田尚子H...
1984 / 日本 / 科幻动画奇幻冒险


",风之谷 / 風の谷のナウシカ / 风谷少女  /  Kaze no tani no Naushika,8.8,动画片的圣经。
"
导演:李濬益Jun-ikLee   主演:薛景求Kyung-guSol/严志媛Ji-wonUhm...
2013 / 韩国 / 剧情家庭


",素媛 / 소원 / 许愿  /  希望：为爱重生(台),9.1,受过伤害的人总是笑得最开心，因为他们不愿意让身边的人承受一样的痛苦。
"
导演:杨德昌   主演:吴念真/李凯莉KellyLee/金燕玲ElaineJin
2000 / 台湾日本 / 剧情爱情家庭


",一一 / Yi yi  /  Yi yi: A One and a Two,8.8,我们都曾经是一一。
"
导演:理查德·林克莱特RichardLinklater   主演:伊桑·霍克EthanHawke...
2004 / 美国 / 剧情爱情


",爱在日落黄昏时 / Before Sunset / 日落巴黎(港)  /  爱在日落巴黎时(台),8.7,九年后的重逢是世俗和责任的交叠，没了悸动和青涩，沧桑而温暖。
"
导演:迪恩·德布洛斯DeanDeBlois/克里斯·桑德斯ChrisSanders   主演:...
2010 / 美国 / 喜剧动画奇幻冒险家庭


",驯龙高手 / How to Train Your Dragon / 驯龙记(港),8.7,和谐的生活离不开摸头与被摸头。
"
导演:雅克·贝汉JacquesPerrin/雅克·克鲁奥德JacquesCluzaud   主演:...
2009 / 法国瑞士西班牙美国阿联酋 / 纪录片


",海洋 / Océans / Oceans  /  海洋,9.0,大海啊，不全是水。
"
导演:爱德华·兹威克EdwardZwick   主演:安东尼·霍普金斯AnthonyHopki...
1994 / 美国 / 剧情爱情西部家庭


",燃情岁月 / Legends of the Fall / 秋日传奇  /  真爱一世情(台),8.8,传奇，不是每个人都可以拥有。
"
导演:近藤喜文YoshifumiKondo   主演:本名阳子YoukoHonna/小林桂树K...
1995 / 日本 / 剧情爱情动画音乐


",侧耳倾听 / 耳をすませば / 心之谷  /  梦幻街少女,8.8,少女情怀总是诗。
"
导演:史蒂文·斯皮尔伯格StevenSpielberg   主演:汤姆·汉克斯TomHanks...
2004 / 美国 / 喜剧剧情爱情


",幸福终点站 / The Terminal / 机场客运站(港)  /  航站情缘(台),8.6,有时候幸福需要等一等。 
"
导演:GérardOury   主演:路易·德·菲耐斯LouisdeFunès/布尔维尔B...
1966 / 法国英国 / 喜剧战争


",虎口脱险 / La grande vadrouille / 横冲直撞出重围(港)  /  大進擊(台),8.9,永远看不腻的喜剧。
"
导演:史蒂文·斯皮尔伯格StevenSpielberg   主演:莱昂纳多·迪卡普里奥L...
2002 / 美国加拿大 / 传记犯罪剧情


",猫鼠游戏 / Catch Me If You Can / 逍遥法外  /  神鬼交锋(台),8.7,骗子大师和执著警探的你追我跑故事。 
